Identifier,Country name,Series code,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,Aruba,AG.LND.EL5M.ZS,0,1,29.57481,..,..,..,..,..,..,..,..,..,29.57481,..,..,..,..,..,..,..,..,..,..,..
1,Andorra,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
2,Afghanistan,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
3,Angola,AG.LND.EL5M.ZS,0,1,0.2082346,..,..,..,..,..,..,..,..,..,0.2082346,..,..,..,..,..,..,..,..,..,..,..
4,Albania,AG.LND.EL5M.ZS,0,1,4.967875,..,..,..,..,..,..,..,..,..,4.967875,..,..,..,..,..,..,..,..,..,..,..
5,United Arab Emirates,AG.LND.EL5M.ZS,0,1,4.644515,..,..,..,..,..,..,..,..,..,4.644515,..,..,..,..,..,..,..,..,..,..,..
6,Argentina,AG.LND.EL5M.ZS,0,1,1.230535,..,..,..,..,..,..,..,..,..,1.230535,..,..,..,..,..,..,..,..,..,..,..
7,Armenia,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
8,American Samoa,AG.LND.EL5M.ZS,0,1,17.89262,..,..,..,..,..,..,..,..,..,17.89262,..,..,..,..,..,..,..,..,..,..,..
9,Antigua and Barbuda,AG.LND.EL5M.ZS,0,1,32.42317,..,..,..,..,..,..,..,..,..,32.42317,..,..,..,..,..,..,..,..,..,..,..
10,Australia,AG.LND.EL5M.ZS,0,1,1.141535,..,..,..,..,..,..,..,..,..,1.141535,..,..,..,..,..,..,..,..,..,..,..
11,Austria,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
12,Azerbaijan,AG.LND.EL5M.ZS,0,1,19.96988,..,..,..,..,..,..,..,..,..,19.96988,..,..,..,..,..,..,..,..,..,..,..
13,Burundi,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
14,Belgium,AG.LND.EL5M.ZS,0,1,9.242276,..,..,..,..,..,..,..,..,..,9.242276,..,..,..,..,..,..,..,..,..,..,..
15,Benin,AG.LND.EL5M.ZS,0,1,1.155602,..,..,..,..,..,..,..,..,..,1.155602,..,..,..,..,..,..,..,..,..,..,..
16,Burkina Faso,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
17,Bangladesh,AG.LND.EL5M.ZS,0,1,14.06936,..,..,..,..,..,..,..,..,..,14.06936,..,..,..,..,..,..,..,..,..,..,..
18,Bulgaria,AG.LND.EL5M.ZS,0,1,0.4296998,..,..,..,..,..,..,..,..,..,0.4296998,..,..,..,..,..,..,..,..,..,..,..
19,Bahrain,AG.LND.EL5M.ZS,0,1,39.03492,..,..,..,..,..,..,..,..,..,39.03492,..,..,..,..,..,..,..,..,..,..,..
